post_id,post_url,author_id,author_username,author_followers,author_following,author_created,author_account_age_days,author_verified,author_tweet_count,text,created_at,lang,has_media,media_types,media_urls,is_reply,is_retweet,is_quote,possibly_sensitive,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,is_synthetic,hour_of_day,engagement_total,engagement_rate
syn_control_000646,,syn_user_596659,synuser_21610,652,930,,2681,False,7139,[synthetic] control post #646,2026-03-24 00:00:00,en,False,photo,,False,False,True,False,5,0,0,26,0,0,"artistsontwitter,photography",control,0.0,True,16,5,0.19230769230769232
syn_control_000617,,syn_user_361171,synuser_46414,699,853,,2788,False,7605,[synthetic] control post #617,2026-01-29 00:00:00,en,False,photo,,False,False,False,False,5,0,0,16,0,0,"digitalart,photography,artistsontwitter",control,0.0,True,10,5,0.3125
syn_treatment_000013,,syn_user_385169,synuser_16056,690,282,,2421,False,3795,[synthetic] treatment post #13,2026-02-18 00:00:00,en,False,photo,,False,False,False,False,1,0,0,16,0,0,"syntheticmedia,aiart",treatment,1.0,True,18,1,0.0625
syn_control_000483,,syn_user_657555,synuser_69832,711,1806,,3315,False,5463,[synthetic] control post #483,2025-11-22 00:00:00,en,True,,,False,False,False,False,8,0,0,22,0,0,"photography,digitalart",control,0.0,True,3,8,0.36363636363636365
syn_treatment_000016,,syn_user_272813,synuser_99573,659,864,,2284,False,4550,[synthetic] treatment post #16,2025-11-16 00:00:00,en,False,photo,,False,False,False,True,0,0,0,19,0,0,deepfakeai,treatment,1.0,True,19,0,0.0
syn_control_000571,,syn_user_782100,synuser_29520,521,389,,3475,False,2269,[synthetic] control post #571,2026-01-27 00:00:00,en,True,,,False,False,False,False,0,0,0,25,0,0,"portrait,artistsontwitter",control,0.0,True,21,0,0.0
syn_treatment_000296,,syn_user_889160,synuser_24999,485,1165,,954,False,2858,[synthetic] treatment post #296,2025-12-27 00:00:00,en,True,photo,,False,False,False,False,3,0,0,24,0,0,"syntheticmedia,grokimage,aigenerated",treatment,1.0,True,9,3,0.125
syn_control_000440,,syn_user_537804,synuser_26257,659,528,,1400,False,4264,[synthetic] control post #440,2026-01-19 00:00:00,en,False,video,,False,False,False,False,0,0,0,17,0,0,"portrait,digitalart",control,0.0,True,6,0,0.0
syn_control_000710,,syn_user_759218,synuser_31549,595,906,,559,False,9260,[synthetic] control post #710,2025-11-12 00:00:00,en,True,photo,,False,False,False,False,0,0,0,14,0,0,portrait,control,0.0,True,1,0,0.0
syn_control_000406,,syn_user_316039,synuser_83002,721,1417,,30,False,5452,[synthetic] control post #406,2026-01-31 00:00:00,en,True,video,,True,False,False,False,0,0,0,16,0,0,"portrait,artistsontwitter,nsfw",control,0.0,True,1,0,0.0
syn_treatment_000015,,syn_user_666277,synuser_46251,473,1589,,3610,False,9651,[synthetic] treatment post #15,2026-01-24 00:00:00,en,False,photo,,False,False,True,False,9,0,0,28,0,0,"deepfakeai,syntheticmedia,grokai",treatment,1.0,True,4,9,0.32142857142857145
syn_treatment_000236,,syn_user_655969,synuser_67713,1008,1858,,2558,False,4654,[synthetic] treatment post #236,2026-03-20 00:00:00,en,True,,,False,False,False,False,14,0,0,34,0,0,"deepfakeai,syntheticmedia,grokimage",treatment,1.0,True,10,14,0.4117647058823529
syn_control_000585,,syn_user_419956,synuser_65880,633,1945,,3111,False,2822,[synthetic] control post #585,2026-01-24 00:00:00,en,True,photo,,False,False,False,False,2,0,0,12,0,0,"nsfw,digitalart",control,0.0,True,0,2,0.16666666666666666
syn_treatment_000017,,syn_user_637970,synuser_33452,844,1121,,2947,False,6934,[synthetic] treatment post #17,2026-01-15 00:00:00,en,True,,,False,False,False,True,0,0,0,9,0,0,"grokai,deepfakeai,syntheticmedia",treatment,1.0,True,22,0,0.0
syn_treatment_000277,,syn_user_444439,synuser_88242,1073,1747,,235,False,8849,[synthetic] treatment post #277,2025-12-29 00:00:00,en,True,photo,,False,False,False,True,0,0,0,19,0,0,"deepfakeai,grokai,grokimage",treatment,1.0,True,13,0,0.0
syn_treatment_000345,,syn_user_602632,synuser_13316,930,1774,,2084,False,6556,[synthetic] treatment post #345,2026-02-08 00:00:00,en,True,photo,,False,False,False,True,12,0,0,30,0,0,"syntheticmedia,grokai",treatment,1.0,True,12,12,0.4
syn_treatment_000194,,syn_user_455164,synuser_30859,642,921,,30,False,9543,[synthetic] treatment post #194,2026-01-10 00:00:00,en,True,video,,False,False,False,False,0,0,0,22,0,0,"aigenerated,syntheticmedia,deepfakeai",treatment,1.0,True,2,0,0.0
syn_treatment_000327,,syn_user_741591,synuser_35654,446,797,,1118,False,3633,[synthetic] treatment post #327,2026-01-22 00:00:00,en,True,photo,,True,False,False,True,3,0,0,36,0,0,"grokai,aiart",treatment,1.0,True,6,3,0.08333333333333333
syn_control_000560,,syn_user_914499,synuser_87762,903,1388,,2383,False,3539,[synthetic] control post #560,2025-11-09 00:00:00,en,True,,,False,False,False,False,4,0,0,12,0,0,"portrait,photography,nsfw",control,0.0,True,9,4,0.3333333333333333
syn_control_000476,,syn_user_650623,synuser_42119,695,1645,,2949,False,2420,[synthetic] control post #476,2026-02-10 00:00:00,en,True,photo,,False,False,False,False,7,0,0,13,0,0,nsfw,control,0.0,True,15,7,0.5384615384615384
syn_control_000608,,syn_user_351316,synuser_19190,698,379,,3288,False,4772,[synthetic] control post #608,2026-02-05 00:00:00,en,True,video,,False,False,False,False,1,0,0,29,0,0,"portrait,artistsontwitter",control,0.0,True,3,1,0.034482758620689655
syn_control_000479,,syn_user_978556,synuser_95550,556,956,,1671,False,4172,[synthetic] control post #479,2026-02-13 00:00:00,en,True,video,,False,False,False,True,7,0,0,20,0,0,photography,control,0.0,True,17,7,0.35
syn_control_000572,,syn_user_905377,synuser_88499,616,1819,,1275,True,3788,[synthetic] control post #572,2026-02-28 00:00:00,en,True,,,False,False,False,False,3,0,0,18,0,0,"nsfw,artistsontwitter",control,0.0,True,7,3,0.16666666666666666
syn_control_000671,,syn_user_947192,synuser_31173,861,438,,2317,False,5495,[synthetic] control post #671,2025-12-04 00:00:00,en,False,photo,,False,False,False,True,0,0,0,14,0,0,"nsfw,photography,artistsontwitter",control,0.0,True,15,0,0.0
syn_treatment_000310,,syn_user_986022,synuser_35748,621,1404,,1123,False,7957,[synthetic] treatment post #310,2025-12-16 00:00:00,en,False,,,False,False,False,False,0,0,0,24,0,0,grokai,treatment,1.0,True,4,0,0.0
2045037116099633437,https://x.com/boiledkeyboard/status/2045037116099633437,194582347,boiledkeyboard,586,1153,Fri Sep 24 14:00:53 +0000 2010,5683,True,6862,"QT your 'Silver Lining' :

#Grok #AIart #AIartist #AIartCommunity #illustration https://t.co/sAwD645i64",2026-04-17 07:10:18,en,True,photo,https://pbs.twimg.com/media/HGFuVo3bQAAP8r6.jpg,False,False,True,False,0,0,0,2,0,0,"grok,aiart,aiartist,aiartcommunity,illustration",control,False,False,7,0,0.0
