post_id,author_id,author_username,author_followers,author_account_age_days,has_media,views,likes,retweets,replies,bookmarks,quotes,content_type,ai_generated,lang,engagement_total,engagement_rate,hashtags,created_at,ai_confidence,detection_method
treatment_000526,user_9309,user_71138,400,811,True,7619,215,73,60,52,22,treatment,True,en,370,0.0485628035175219,"AIArt,AIArt",2025-01-16,1.0,pre_labeled
treatment_000354,user_9723,user_37447,545,67,False,17132,525,331,152,249,72,treatment,True,en,1080,0.0630399252860144,AIGenerated,2025-01-22,1.0,pre_labeled
treatment_000168,user_4008,user_92840,466,475,True,21139,914,358,144,314,24,treatment,True,en,1440,0.0681205355030985,AIArt,2025-03-30,1.0,pre_labeled
treatment_000135,user_3735,user_94652,674,1329,True,5464,173,32,20,73,21,treatment,True,en,246,0.04502196193265,AIGenerated,2025-04-27,1.0,pre_labeled
control_000137,user_2782,user_64281,311,128,True,2523,153,30,18,23,8,control,False,en,209,0.082837891399128,"portrait,portrait,photography",2025-02-28,1.0,pre_labeled
control_000744,user_6868,user_45888,608,225,True,4757,253,36,32,33,17,control,False,en,338,0.0710531847803237,"photography,photography,portrait",2025-01-23,1.0,pre_labeled
control_000453,user_8955,user_90199,727,1838,True,5968,171,84,57,66,23,control,False,en,335,0.0561327077747989,"digitalart,portrait",2025-03-24,1.0,pre_labeled
treatment_000237,user_4888,user_11321,502,326,True,9864,559,104,39,83,46,treatment,True,en,748,0.075831305758313,"SyntheticMedia,SyntheticMedia,GrokAI",2025-03-08,1.0,pre_labeled
treatment_000478,user_6971,user_10731,374,1018,True,11355,313,91,81,104,52,treatment,True,en,537,0.0472919418758256,"GrokImage,GrokAI,GrokAI",2025-01-15,1.0,pre_labeled
treatment_000650,user_5402,user_36428,676,587,True,8220,200,42,55,112,33,treatment,True,en,330,0.0401459854014598,"GrokImage,SyntheticMedia",2025-02-13,1.0,pre_labeled
treatment_000514,user_9631,user_91227,1032,493,True,12962,491,130,55,122,27,treatment,True,en,703,0.0542354574911279,"AIGenerated,AIArt",2025-02-20,1.0,pre_labeled
control_000303,user_8539,user_85226,91,897,True,5797,245,82,13,21,18,control,False,en,358,0.0617560807314127,"digitalart,photography,artistsontwitter",2025-03-05,1.0,pre_labeled
control_000168,user_4660,user_12840,611,324,True,7609,215,81,52,51,28,control,False,en,376,0.0494151662504928,"artistsontwitter,artistsontwitter",2025-04-28,1.0,pre_labeled
control_000769,user_6721,user_39292,482,1228,True,5909,323,95,46,68,19,control,False,en,483,0.0817397190726011,portrait,2025-01-01,1.0,pre_labeled
treatment_000584,user_4636,user_44768,308,867,True,5294,362,105,28,32,16,treatment,True,en,511,0.0965243672081601,SyntheticMedia,2025-01-14,1.0,pre_labeled
treatment_000065,user_3932,user_72830,220,1490,True,10690,488,84,89,143,21,treatment,True,en,682,0.0637979420018709,AIGenerated,2025-03-14,1.0,pre_labeled
treatment_000030,user_5053,user_32132,409,80,True,8353,477,72,73,35,41,treatment,True,en,663,0.0793726804740811,"AIArt,AIArt",2025-04-07,1.0,pre_labeled
control_000104,user_7577,user_87515,188,801,True,8395,252,144,18,27,30,control,False,en,444,0.0528886241810601,portrait,2025-02-11,1.0,pre_labeled
treatment_000367,user_3843,user_45869,1144,1662,True,16879,440,93,74,198,47,treatment,True,en,654,0.0387463712305231,SyntheticMedia,2025-04-30,1.0,pre_labeled
control_000334,user_6908,user_45135,547,655,False,8690,690,68,85,79,32,control,False,en,875,0.1006904487917146,"photography,digitalart,digitalart",2025-03-27,1.0,pre_labeled
control_000687,user_2679,user_70247,83,1313,True,5366,200,97,37,27,25,control,False,en,359,0.0669027208348863,"portrait,portrait,portrait",2025-04-07,1.0,pre_labeled
treatment_000485,user_3093,user_14406,1143,1735,True,7304,523,113,71,64,11,treatment,True,en,718,0.098302300109529,"GrokImage,SyntheticMedia",2025-01-20,1.0,pre_labeled
control_000748,user_4781,user_67443,288,1906,True,8334,378,108,77,90,13,control,False,en,576,0.0691144708423326,"portrait,portrait",2025-02-07,1.0,pre_labeled
treatment_000374,user_8975,user_10769,863,1741,True,9085,492,155,52,82,41,treatment,True,en,740,0.081452944413869,"GrokAI,AIArt,AIGenerated",2025-03-24,1.0,pre_labeled
treatment_000029,user_4990,user_12609,582,1266,True,7566,152,46,63,40,11,treatment,True,en,272,0.0359503039915411,AIArt,2025-01-08,1.0,pre_labeled
control_000342,user_1239,user_68652,872,1987,True,9547,234,113,70,86,40,control,False,en,457,0.0478684403477532,"digitalart,artistsontwitter,artistsontwitter",2025-01-31,1.0,pre_labeled
control_000158,user_3596,user_80757,153,315,True,2808,119,27,7,16,11,control,False,en,164,0.0584045584045584,artistsontwitter,2025-02-25,1.0,pre_labeled
control_000666,user_1027,user_19905,66,1171,False,3099,105,49,25,15,6,control,False,en,185,0.0596966763472087,artistsontwitter,2025-04-03,1.0,pre_labeled
