post_id,post_url,author_id,author_username,author_followers,author_following,author_created,author_account_age_days,author_verified,author_tweet_count,text,created_at,lang,has_media,media_types,media_urls,is_reply,is_retweet,is_quote,possibly_sensitive,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,is_synthetic,hour_of_day,engagement_total,engagement_rate
syn_control_000596,,syn_user_681417,synuser_45732,886,348,,3111,False,8407,[synthetic] control post #596,2026-02-22 00:00:00,en,True,photo,,False,False,False,True,1,0,0,8,0,0,"artistsontwitter,photography",control,0.0,True,2,1,0.125
syn_control_000567,,syn_user_167885,synuser_53487,743,349,,2639,False,968,[synthetic] control post #567,2026-04-03 00:00:00,en,False,,,False,False,False,True,2,0,0,15,0,0,"digitalart,portrait",control,0.0,True,13,2,0.13333333333333333
syn_control_000433,,syn_user_991661,synuser_40094,1112,1317,,1484,False,5076,[synthetic] control post #433,2025-12-08 00:00:00,en,True,,,False,False,False,True,0,0,0,15,0,0,photography,control,0.0,True,16,0,0.0
syn_control_000521,,syn_user_391711,synuser_25204,897,1639,,3986,False,3123,[synthetic] control post #521,2025-12-08 00:00:00,en,True,,,True,False,False,False,0,0,0,17,0,0,"photography,digitalart,portrait",control,0.0,True,11,0,0.0
syn_control_000390,,syn_user_855572,synuser_22346,406,250,,2076,False,1870,[synthetic] control post #390,2026-02-27 00:00:00,en,False,photo,,False,False,False,False,2,0,0,19,0,0,"portrait,artistsontwitter",control,0.0,True,22,2,0.10526315789473684
syn_control_000660,,syn_user_753452,synuser_10273,593,245,,1185,False,8540,[synthetic] control post #660,2025-11-08 00:00:00,en,True,photo,,False,False,False,False,0,0,0,12,0,0,digitalart,control,0.0,True,12,0,0.0
syn_control_000356,,syn_user_812514,synuser_14102,717,1992,,2280,False,6042,[synthetic] control post #356,2026-03-10 00:00:00,en,True,photo,,False,False,False,False,4,0,0,17,0,0,"artistsontwitter,portrait",control,0.0,True,3,4,0.23529411764705882
syn_control_000535,,syn_user_673848,synuser_39994,900,612,,2632,False,4329,[synthetic] control post #535,2026-01-30 00:00:00,en,True,photo,,False,False,False,True,0,0,0,12,0,0,"digitalart,nsfw,artistsontwitter",control,0.0,True,22,0,0.0
syn_control_000510,,syn_user_740515,synuser_89926,542,737,,1900,False,614,[synthetic] control post #510,2025-11-21 00:00:00,en,True,photo,,False,False,False,False,0,0,0,15,0,0,portrait,control,0.0,True,21,0,0.0
syn_control_000426,,syn_user_301389,synuser_27206,732,1360,,3629,False,8821,[synthetic] control post #426,2025-11-22 00:00:00,en,True,video,,False,False,False,True,2,0,0,17,0,0,digitalart,control,0.0,True,7,2,0.11764705882352941
syn_control_000558,,syn_user_748195,synuser_78273,581,336,,1464,False,9791,[synthetic] control post #558,2025-11-22 00:00:00,en,True,photo,,True,False,False,False,0,0,0,19,0,0,"digitalart,portrait,artistsontwitter",control,0.0,True,13,0,0.0
syn_control_000429,,syn_user_872236,synuser_68589,623,1540,,2767,False,1609,[synthetic] control post #429,2026-03-18 00:00:00,en,False,video,,False,False,True,True,2,0,0,18,0,0,"photography,portrait",control,0.0,True,3,2,0.1111111111111111
