post_id,author_id,author_username,author_followers,author_account_age_days,author_created,text,created_at,lang,has_media,media_types,media_urls,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,engagement_total,engagement_rate
treatment_000526,user_9818,user_18786,461,235,2022-01-01,Synthetic treatment post #526,2025-04-01,en,True,photo,,120,54,14,5329,70,7,aiart,treatment,True,195,0.03659223118784012
treatment_000354,user_7167,user_11328,716,1582,2022-01-01,Synthetic treatment post #354,2025-04-12,en,True,photo,,394,36,19,7221,41,10,grokimage,treatment,True,459,0.0635646032405484
treatment_000168,user_6020,user_62494,825,1372,2022-01-01,Synthetic treatment post #168,2025-02-05,en,True,photo,,778,120,72,12571,75,21,grokai,treatment,True,991,0.07883223291703126
treatment_000135,user_8459,user_76418,200,1453,2022-01-01,Synthetic treatment post #135,2025-01-01,en,True,photo,,557,134,63,11106,64,33,"grokai,syntheticmedia,grokimage",treatment,True,787,0.07086259679452549
control_000137,user_6368,user_79265,1188,39,2022-01-01,Synthetic control post #137,2025-01-03,en,True,photo,,95,33,24,3784,14,15,"photography,digitalart",control,False,167,0.04413319238900634
control_000744,user_9638,user_57351,243,720,2022-01-01,Synthetic control post #744,2025-03-29,en,True,photo,,83,64,9,3554,27,13,"artistsontwitter,digitalart",control,False,169,0.04755205402363534
control_000453,user_6090,user_87954,742,712,2022-01-01,Synthetic control post #453,2025-03-24,en,True,photo,,549,120,58,8623,50,24,"artistsontwitter,digitalart",control,False,751,0.08709265916734316
treatment_000237,user_8852,user_61294,613,1190,2022-01-01,Synthetic treatment post #237,2025-03-29,en,False,photo,,675,151,118,22799,338,46,"aigenerated,aiart",treatment,True,990,0.0434229571472433
treatment_000478,user_6397,user_47233,678,764,2022-01-01,Synthetic treatment post #478,2025-04-24,en,False,photo,,427,184,44,12155,139,49,grokimage,treatment,True,704,0.0579185520361991
treatment_000650,user_2272,user_44398,295,1728,2022-01-01,Synthetic treatment post #650,2025-02-10,en,False,photo,,640,220,93,15876,131,54,"syntheticmedia,grokai,aiart",treatment,True,1007,0.06342907533383724
treatment_000514,user_9661,user_39728,365,1333,2022-01-01,Synthetic treatment post #514,2025-04-10,en,True,photo,,577,101,87,8958,125,11,"grokimage,aiart,syntheticmedia",treatment,True,776,0.08662647912480465
control_000303,user_7814,user_61660,427,581,2022-01-01,Synthetic control post #303,2025-03-27,en,True,photo,,494,185,61,11353,162,30,"artistsontwitter,photography",control,False,770,0.06782348277988197
control_000168,user_6959,user_47253,1014,1025,2022-01-01,Synthetic control post #168,2025-02-11,en,True,photo,,216,133,24,10329,136,13,"portrait,photography",control,False,386,0.03737051021396069
control_000769,user_7919,user_68136,504,1650,2022-01-01,Synthetic control post #769,2025-03-30,en,True,photo,,251,53,21,4907,30,20,"photography,portrait,digitalart",control,False,345,0.07030772366007744
treatment_000584,user_4592,user_92202,965,1245,2022-01-01,Synthetic treatment post #584,2025-03-22,en,True,photo,,369,62,24,5998,81,24,"grokai,grokimage",treatment,True,479,0.0798599533177726
treatment_000065,user_2906,user_64533,365,255,2022-01-01,Synthetic treatment post #65,2025-03-07,en,True,photo,,894,155,75,13576,91,24,"grokimage,syntheticmedia,aiart",treatment,True,1148,0.08456098998232174
treatment_000030,user_6681,user_56125,1050,1958,2022-01-01,Synthetic treatment post #30,2025-01-31,en,True,photo,,100,64,9,3500,15,12,grokai,treatment,True,185,0.05285714285714286
control_000104,user_7665,user_41795,474,1615,2022-01-01,Synthetic control post #104,2025-03-11,en,True,photo,,324,118,48,6146,38,18,"digitalart,portrait,artistsontwitter",control,False,508,0.08265538561666125
treatment_000367,user_2393,user_91473,101,877,2022-01-01,Synthetic treatment post #367,2025-03-30,en,False,photo,,516,141,45,11329,78,41,"syntheticmedia,aiart,aigenerated",treatment,True,743,0.06558389972636597
control_000334,user_6504,user_80283,202,1927,2022-01-01,Synthetic control post #334,2025-03-26,en,False,photo,,166,33,17,2225,28,6,"portrait,artistsontwitter",control,False,222,0.0997752808988764
control_000687,user_1921,user_23826,496,1565,2022-01-01,Synthetic control post #687,2025-03-07,en,True,photo,,170,24,7,2577,21,4,"portrait,photography",control,False,205,0.07954986418315871
treatment_000485,user_3688,user_67042,595,1857,2022-01-01,Synthetic treatment post #485,2025-04-19,en,True,photo,,1229,199,94,15759,147,39,"grokai,grokimage,aiart",treatment,True,1561,0.0990545085348055
control_000748,user_1574,user_55604,425,770,2022-01-01,Synthetic control post #748,2025-02-08,en,True,photo,,254,67,56,6408,44,6,"digitalart,artistsontwitter",control,False,383,0.05976903870162297
treatment_000374,user_8554,user_84775,20,1974,2022-01-01,Synthetic treatment post #374,2025-02-04,en,False,photo,,436,62,26,9425,63,9,grokai,treatment,True,533,0.05655172413793103
treatment_000029,user_5057,user_98720,479,125,2022-01-01,Synthetic treatment post #29,2025-01-10,en,True,photo,,769,89,63,14540,179,62,"aigenerated,aiart",treatment,True,983,0.06760660247592848
control_000342,user_8186,user_99425,376,452,2022-01-01,Synthetic control post #342,2025-02-10,en,True,photo,,218,57,55,5993,89,10,"digitalart,photography,artistsontwitter",control,False,340,0.05673285499749708
control_000158,user_7325,user_44570,339,823,2022-01-01,Synthetic control post #158,2025-02-21,en,True,photo,,186,84,57,6117,24,21,digitalart,control,False,348,0.05689063266307013
control_000666,user_7217,user_24588,381,1490,2022-01-01,Synthetic control post #666,2025-03-26,en,True,photo,,455,75,58,6634,38,7,"photography,artistsontwitter,portrait",control,False,595,0.08968947844437745
treatment_000332,user_9876,user_89617,511,1981,2022-01-01,Synthetic treatment post #332,2025-04-25,en,False,photo,,632,95,19,8128,41,24,grokai,treatment,True,770,0.09473425196850394
treatment_000712,user_6990,user_41122,165,351,2022-01-01,Synthetic treatment post #712,2025-03-16,en,True,photo,,342,173,21,8951,45,21,aiart,treatment,True,557,0.06222768405764719
treatment_000070,user_1965,user_41766,330,1304,2022-01-01,Synthetic treatment post #70,2025-04-21,en,True,photo,,1219,103,152,17383,88,43,"grokimage,grokai,aiart",treatment,True,1517,0.08726917102916643
treatment_000289,user_4319,user_11252,352,448,2022-01-01,Synthetic treatment post #289,2025-01-12,en,True,photo,,414,252,45,15380,230,35,"grokai,aiart",treatment,True,746,0.048504551365409626
control_000187,user_9175,user_31088,334,1119,2022-01-01,Synthetic control post #187,2025-03-01,en,True,photo,,230,35,44,4524,35,15,photography,control,False,324,0.07161803713527852
control_000726,user_2094,user_61521,447,1536,2022-01-01,Synthetic control post #726,2025-03-24,en,True,photo,,139,24,12,3148,35,6,portrait,control,False,181,0.05749682337992376
treatment_000416,user_8822,user_87424,769,1452,2022-01-01,Synthetic treatment post #416,2025-01-06,en,True,photo,,545,61,39,7125,69,12,"aiart,aigenerated",treatment,True,657,0.09221052631578948
