post_id,author_id,author_username,author_followers,author_account_age_days,author_created,text,created_at,lang,has_media,media_types,media_urls,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,engagement_total,engagement_rate,treat,log_views,log_likes,log_retweets,log_engagement_total,velocity,log_followers,log_account_age,has_media_int,hour_of_day,propensity_score
treatment_000526,user_9818,user_18786,461,235,2022-01-01,Synthetic treatment post #526,2025-04-01,en,True,photo,,120,54,14,5329,70,7,aiart,treatment,True,195,0.03659223118784012,1,8.58110651715989,4.795790545596741,4.007333185232471,5.278114659230517,0.03659223118784012,6.135564891081739,5.4638318050256105,1,0,0.4681172673108253
treatment_000354,user_7167,user_11328,716,1582,2022-01-01,Synthetic treatment post #354,2025-04-12,en,True,photo,,394,36,19,7221,41,10,grokimage,treatment,True,459,0.0635646032405484,1,8.884887201837403,5.978885764901122,3.6109179126442243,6.131226489483141,0.0635646032405484,6.57507584059962,7.367077059881012,1,0,0.5151056756418421
treatment_000168,user_6020,user_62494,825,1372,2022-01-01,Synthetic treatment post #168,2025-02-05,en,True,photo,,778,120,72,12571,75,21,grokai,treatment,True,991,0.07883223291703126,1,9.439227397917458,6.658011045870748,4.795790545596741,6.899723107284872,0.07883223291703126,6.716594773520978,7.224753405767971,1,0,0.5102067070617254
treatment_000135,user_8459,user_76418,200,1453,2022-01-01,Synthetic treatment post #135,2025-01-01,en,True,photo,,557,134,63,11106,64,33,"grokai,syntheticmedia,grokimage",treatment,True,787,0.07086259679452549,1,9.31533081916712,6.324358962381311,4.90527477843843,6.669498089857879,0.07086259679452549,5.303304908059076,7.282073658093465,1,0,0.5229366944895469
treatment_000237,user_8852,user_61294,613,1190,2022-01-01,Synthetic treatment post #237,2025-03-29,en,False,photo,,675,151,118,22799,338,46,"aigenerated,aiart",treatment,True,990,0.0434229571472433,1,10.034515814942532,6.516193076042964,5.0238805208462765,6.898714534329988,0.0434229571472433,6.419994928147142,7.0825485693553,0,0,0.505428085963292
treatment_000478,user_6397,user_47233,678,764,2022-01-01,Synthetic treatment post #478,2025-04-24,en,False,photo,,427,184,44,12155,139,49,grokimage,treatment,True,704,0.0579185520361991,1,9.405578154036684,6.059123195581797,5.220355825078324,6.558197802812269,0.0579185520361991,6.520621127558696,6.639875833826536,0,0,0.4928778312788396
treatment_000650,user_2272,user_44398,295,1728,2022-01-01,Synthetic treatment post #650,2025-02-10,en,False,photo,,640,220,93,15876,131,54,"syntheticmedia,grokai,aiart",treatment,True,1007,0.06342907533383724,1,9.672626800077511,6.46302945692067,5.3981627015177525,6.915723448631314,0.06342907533383724,5.69035945432406,7.455298485683291,0,0,0.5211053982455668
treatment_000514,user_9661,user_39728,365,1333,2022-01-01,Synthetic treatment post #514,2025-04-10,en,True,photo,,577,101,87,8958,125,11,"grokimage,aiart,syntheticmedia",treatment,True,776,0.08662647912480465,1,9.100413892597578,6.359573868672378,4.624972813284271,6.655440350367647,0.08662647912480465,5.902633333401366,7.195937226475569,1,0,0.5159014481907793
treatment_000584,user_4592,user_92202,965,1245,2022-01-01,Synthetic treatment post #584,2025-03-22,en,True,photo,,369,62,24,5998,81,24,"grokai,grokimage",treatment,True,479,0.0798599533177726,1,8.699348067653093,5.91350300563827,4.143134726391533,6.173786103901937,0.0798599533177726,6.873163834212518,7.1276936993473985,1,0,0.5063877621346945
treatment_000065,user_2906,user_64533,365,255,2022-01-01,Synthetic treatment post #65,2025-03-07,en,True,photo,,894,155,75,13576,91,24,"grokimage,syntheticmedia,aiart",treatment,True,1148,0.08456098998232174,1,9.51613246360028,6.796823718274855,5.049856007249537,7.046647277848756,0.08456098998232174,5.902633333401366,5.545177444479562,1,0,0.472112164435249
